ViolationID,BuildingID,RegistrationID,BoroID,Borough,HouseNumber,LowHouseNumber,HighHouseNumber,StreetName,StreetCode,Postcode,Apartment,Story,Block,Lot,Class,InspectionDate,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVDescription,NOVIssuedDate,CurrentStatusID,CurrentStatus,CurrentStatusDate,NovType,ViolationStatus,RentImpairing,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
13800265,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5F,5,2794,49,C,09/03/2020,09/04/2020,10/09/2020,10/04/2020,,,10/03/2020,569,6949169,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE LOCATED AT APT 5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",09/08/2020,9,VIOLATION DISMISSED,12/14/2020,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
14011431,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,01/30/2021,01/31/2021,02/12/2021,01/31/2021,,,,666,7077527,"SECTION 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",02/01/2021,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,03/26/2023,Original,Open,Y,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
13987177,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,6,2794,49,C,01/15/2021,01/19/2021,02/02/2021,01/26/2021,,,01/27/2021,507,7067607,"SECTION 27-2005 ADM CODE REPAIR THE ROOF SO THAT IT WILL NOT LEAK AT CEILING AT PUBLIC HALL, 6th STORY",01/20/2021,9,VIOLATION DISMISSED,04/09/2021,Original,Close,Y,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15037007,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/12/2022,03/12/2022,04/14/2022,04/09/2022,,,04/06/2022,790,7823548,"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 4; WG TO REPLACE = 0; WG TO REPAIR = 0; LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/14/2022,9,VIOLATION DISMISSED,06/17/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15037229,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/12/2022,03/12/2022,04/12/2022,04/07/2022,05/10/2022,05/05/2022,04/28/2022,617,7823547,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st WINDOW FRAME FROM EAST AT SOUTH WALL IN THE 2nd ROOM FROM EAST AT NORTH LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/14/2022,19,VIOLATION CLOSED,06/30/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
14424927,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,Fire Escape,2794,49,C,07/06/2021,07/07/2021,07/21/2021,07/14/2021,,,,510,7400004,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF AIR CONDITIONER AT FIRE ESCAPE WINDOW AT 2ND ,3RD ,4TH AND 5TH STORY BALCONY AT SOUTH STACK BUILDING FRONT",07/08/2021,19,VIOLATION CLOSED,03/13/2023,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15037230,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/12/2022,03/12/2022,04/12/2022,04/07/2022,05/10/2022,05/05/2022,04/28/2022,617,7823547,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) NORTH WALL IN THE BATHROOM LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/14/2022,19,VIOLATION CLOSED,06/29/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15002341,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/14/2022,03/14/2022,03/27/2022,03/15/2022,,,03/23/2022,670,7825271,"SECTION 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/15/2022,19,VIOLATION CLOSED,04/07/2022,Original,Close,Y,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15265138,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,Basement,2794,49,C,07/13/2022,07/15/2022,07/31/2022,07/24/2022,,,08/01/2022,510,7974457,SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF 2 FREE STANDING RADIATORS IN THE BASEMENT AT PUBLIC HALL,07/18/2022,19,VIOLATION CLOSED,03/26/2023,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15037227,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/12/2022,03/12/2022,04/12/2022,04/07/2022,05/10/2022,05/05/2022,04/28/2022,617,7823547,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st CLOSET FROM EAST AT SOUTH WALL DOOR FRAME, 2nd CLOSET FROM EAST AT SOUTH WALL DOOR FRAME, 1st DOOR FRAME FROM WEST AT NORTH WALL IN THE FOYER LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/14/2022,19,VIOLATION CLOSED,06/30/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15037228,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/12/2022,03/12/2022,04/12/2022,04/07/2022,05/10/2022,05/05/2022,04/28/2022,624,7823547,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS XRF TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 AND IS PRESUMED LEAD PAINT AS SET FORTH IN (28 RCNY ï¿½11-07(b)) AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE-USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(b)(2) 1st CLOSET FROM EAST AT SOUTH WALL DOOR IN THE FOYER LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/14/2022,19,VIOLATION CLOSED,06/29/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15037225,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5C,5,2794,49,C,03/12/2022,03/12/2022,04/12/2022,04/07/2022,05/10/2022,05/05/2022,04/28/2022,617,7823547,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st DOOR FRAME FROM WEST AT NORTH WALL IN THE KITCHEN LOCATED AT APT 5C, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",03/14/2022,19,VIOLATION CLOSED,06/29/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15002342,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,Basement,2794,49,C,03/14/2022,03/14/2022,03/28/2022,03/21/2022,,,03/23/2022,672,7825688,SECTION 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM,03/15/2022,9,VIOLATION DISMISSED,06/03/2022,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15237010,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,,2794,49,C,05/04/2022,06/28/2022,07/08/2022,07/03/2022,,,,620,7955843,"SECTION 27-2056.4(H) AND 27-2056.17 ADM CODE -CORRECT FAILURE TO PROVIDE TO THE DEPARTMENT WITHIN 45 DAYS OF DEMAND ALL RECORDS REQUIRED TO BE MAINTAINED BY OWNER PURSUANT TO LOCAL LAW 1 OF 2004 RELATED TO LEAD-BASED PAINT NOTICES, INSPECTIONS AND REMEDIATION/ABATEMENT ACTIVITIES.",06/29/2022,2,NOV SENT OUT,06/29/2022,Original,Open,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
15237011,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,,2794,49,C,05/04/2022,06/28/2022,07/08/2022,07/03/2022,,,,619,7955843,SECTION 27-2056.4 ADM CODE- CORRECT FAILURE TO NOTIFY OCCUPANTS AND/OR TO INVESTIGATE LEAD-BASED PAINT HAZARDS.,06/29/2022,2,NOV SENT OUT,06/29/2022,Original,Open,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12222224,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,01/31/2018,02/01/2018,03/07/2018,03/02/2018,,,02/16/2018,617,6006715,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE 1st ROOM FROM EAST LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",02/02/2018,19,VIOLATION CLOSED,03/05/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12222226,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,01/31/2018,02/01/2018,03/07/2018,03/02/2018,,,02/16/2018,617,6006715,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st WINDOW FRAME FROM WEST AT NORTH WALL IN THE 3rd ROOM FROM EAST LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",02/02/2018,19,VIOLATION CLOSED,03/05/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12222227,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,01/31/2018,02/01/2018,03/07/2018,03/02/2018,,,02/16/2018,617,6006715,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st WINDOW FRAME FROM NORTH AT EAST WALL IN THE KITCHEN LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",02/02/2018,19,VIOLATION CLOSED,03/05/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12232650,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,02/08/2018,02/09/2018,03/17/2018,03/12/2018,,,,790,6013492,"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0; WG TO REPLACE = 0; WG TO REPAIR = 1; LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",02/12/2018,19,VIOLATION CLOSED,04/23/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12388261,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,,Basement,2794,49,C,05/16/2018,05/17/2018,05/31/2018,05/26/2018,,,,510,6093089,SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF LOOSE AND HANGING BARBWIRE AT DOOR AT FIRE PASSAGE WAY,05/18/2018,19,VIOLATION CLOSED,06/01/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12433554,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,06/14/2018,06/15/2018,07/21/2018,07/16/2018,08/04/2018,07/30/2018,07/30/2018,617,6116903,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st CLOSET FROM EAST AT SOUTH WALL DOOR FRAME IN THE PRIVATE HALLWAY LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",06/18/2018,19,VIOLATION CLOSED,08/14/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12433555,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,06/14/2018,06/15/2018,07/21/2018,07/16/2018,08/04/2018,07/30/2018,07/30/2018,617,6116903,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st DOOR FRAME FROM EAST AT SOUTH WALL, 1st WINDOW FRAME FROM WEST AT NORTH WALL IN THE BATHROOM LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",06/18/2018,19,VIOLATION CLOSED,08/14/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12433556,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,06/14/2018,06/15/2018,07/21/2018,07/16/2018,08/04/2018,07/30/2018,07/30/2018,617,6116903,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st CLOSET FROM EAST AT SOUTH WALL DOOR FRAME, 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE FOYER LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",06/18/2018,19,VIOLATION CLOSED,08/14/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12528179,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5D,5,2794,49,C,08/13/2018,08/14/2018,09/17/2018,09/12/2018,,,09/13/2018,790,6165410,"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0; WG TO REPLACE = 1; WG TO REPAIR = 0; LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",08/15/2018,19,VIOLATION CLOSED,11/15/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12539388,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5F,5,2794,49,C,08/17/2018,08/20/2018,09/23/2018,09/18/2018,10/07/2018,10/02/2018,10/03/2018,617,6170911,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st DOOR FRAME FROM EAST AT SOUTH WALL IN THE KITCHEN LOCATED AT APT 5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",08/21/2018,19,VIOLATION CLOSED,11/09/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12539390,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5F,5,2794,49,C,08/17/2018,08/20/2018,09/23/2018,09/18/2018,10/07/2018,10/02/2018,10/03/2018,617,6170911,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st DOOR FRAME FROM NORTH AT EAST WALL, 1st DOOR FRAME FROM SOUTH AT WEST WALL IN THE 4th ROOM FROM EAST LOCATED AT APT 5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",08/21/2018,19,VIOLATION CLOSED,11/07/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12539391,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,5F,5,2794,49,C,08/17/2018,08/20/2018,09/23/2018,09/18/2018,10/07/2018,10/02/2018,10/03/2018,617,6170911,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) 1st CLOSET FROM WEST AT NORTH WALL DOOR FRAME IN THE PRIVATE HALLWAY LOCATED AT APT 5F, 5th STORY, 2nd APARTMENT FROM WEST AT NORTH",08/21/2018,19,VIOLATION CLOSED,11/07/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
12599683,74521,202798,2,BRONX,1701,1701,1701,EASTBURN AVENUE,29720,10457,3D,3,2794,49,C,09/22/2018,09/22/2018,10/27/2018,10/22/2018,,,,616,6200716,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) CEILING IN THE BATHROOM LOCATED AT APT 3D, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",09/24/2018,19,VIOLATION CLOSED,10/18/2018,Original,Close,N,40.844336,-73.908519,4,15,22902,2007399,2027940049,Mount Hope
